Artist_Name,Artist_ID
Ed Sheeran,1
Maroon 5,2
Zara Larsson,3
The Chainsmokers,4
Lewis Capaldi,5
Katy Perry,6
Sam Feldt,7
Avicii,8
Shawn Mendes,9
Ellie Goulding,10
Loud Luxury,11
Martin Garrix,12
AJ Mitchell,13
David Guetta,14
Sam Smith,15
Steve Aoki,16
R3HAB,17
Marshmello,18
Ava Max,19
Nikki Vianna,20
Charlie Puth,21
Starley,22
James Arthur,23
MAX,24
ILLENIUM,25
Bazzi vs.,26
Charli XCX,27
Kygo,28
Armin van Buuren,29
Billie Eilish,30
Sia,31
Sean Paul,32
Estelle,33
Bastille,34
for KING & COUNTRY,35
Lil Nas X,36
Calvin Harris,37
Why Don't We,38
Olympis,39
DJ Snake,40
Smash Mouth,41
SHAED,42
Kaskade,43
GASHI,44
Khalid,45
Herve Pagez,46
Mark Ronson,47
Arlissa,48
5 Seconds of Summer,49
Gryffin,50
NOTD,51
Jonas Blue,52
3LAU,53
Jax Jones,54
Zedd,55
Mabel,56
A R I Z O N A,57
Alesso,58
ayokay,59
ARTY,60
Maggie Lindemann,61
Cashae,62
Galantis,63
Carly Rae Jepsen,64
Tiësto,65
Silk City,66
Shallou,67
benny blanco,68
DVBBS,69
Lost Kings,70
Elderbrook,71
FANNYPACK,72
Joel Corry,73
Lindsey Stirling,74
ODESZA,75
Clean Bandit,76
Justin Bieber,77
The Black Eyed Peas,78
Riton,79
San Holo,80
Ne-Yo,81
Disclosure,82
Dynoro,83
Skrillex,84
J Balvin,85
Swedish House Mafia,86
Justin Timberlake,87
Lady Gaga,88
Robin Schulz,89
Sigala,90
Hot Shade,91
Paul Kalkbrenner,92
MOTi,93
Dimitri Vegas & Like Mike,94
Becky Hill,95
Molella,96
GATTÜSO,97
MEDUZA,98
Matt Simons,99
Ed Marquis,100
Brando,101
Glaceo,102
Kharfi,103
Lost Frequencies,104
Dua Lipa,105
Steve Void,106
PNAU,107
Mike Perry,108
FAULHABER,109
Audien,110
Prince Paris,111
Georgia Ku,112
Icarus,113
Madison Mars,114
Nahaze,115
DJ Ross,116
Phantoms,117
Deorro,118
Yves V,119
Alok,120
Martin Solveig,121
Alex Gaudino,122
Felix Jaehn,123
SAINt JHN,124
Ofenbach,125
Rita Ora,126
Drax Project,127
Dzeko,128
Don Diablo,129
Andy Grammer,130
Valerie Broussard,131
Panic! At The Disco,132
Hardwell,133
P!nk,134
Daya,135
Borgeous,136
Dan + Shay,137
JP Cooper,138
Jess Glynne,139
Frank Walker,140
Young Bombs,141
OneRepublic,142
Syn Cole,143
Tyler Shaw,144
Nicky Romero,145
Faustix,146
George Ezra,147
XO Cupid,148
Winati,149
Tungevaag & Raaban,150
Jubël,151
John De Sohn,152
Martin Jensen,153
Lauv,154
Kris Kross Amsterdam,155
GAMPER & DADONI,156
Vigiland,157
Alan Walker,158
Cheat Codes,159
Dennis Lloyd,160
Klingande,161
Davai,162
Axel Johansson,163
Chico Rose,164
Axwell /\ Ingrosso,165
Steff da Campo,166
Ilkay Sencan,167
Gaullin,168
Craig David,169
Lyente,170
Dimitri Vangelis & Wyman,171
Steve Brian,172
Fluex,173
Rob Tirea,174
SLATIN,175
Lvly,176
