track_id,track_name,track_album_id,TRACK_POP,duration_ms,release_year,danceability
6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,2oCs0DGTsRO98Gh5ZSl2Cx,66,194754,2019,0.748
0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,63rPSO264uRjW1X5E6cWv6,67,162600,2019,0.726
1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,1HoSmj2eLcsrR0vE9gThr4,70,176616,2019,0.675
75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,1nqYsOef1yKKuGOVchbsk6,60,169093,2019,0.718
1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,7m7vv9wlQ4i0LFuJiE2zsQ,69,189052,2019,0.65
7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,2yiy9cd2QktrNvWC2EUi0k,67,163049,2019,0.675
2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,7INHYSeusaFlyrHSNxm8qH,62,187675,2019,0.449
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,6703SRPsLkS4bPtMFFJes1,69,207619,2019,0.542
7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,7CvAfGvq4RlIwEbT9o8Iav,68,193187,2019,0.594
1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,4QxzbfSsVryEQwvPFEV5Iu,67,253040,2019,0.642
3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,49bXZtlI5kQSqQMSCnSaWO,58,207894,2019,0.679
3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,6e6RVFWdZaoTiLAZOCMnps,67,203733,2019,0.437
6e0CvGZf7CouOpYF8toXHC,Body On My,2R66I0nzp3NnuUlzIGWQ5P,67,192507,2019,0.744
3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,7Al4TIo0c5twNLfdOh1y1u,68,164516,2019,0.572
55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,2vx3BtBMn8Ed3ygEg1OT2t,63,255238,2019,0.69
1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,1imXAvLuowvPYIsFMYUPY0,66,188230,2019,0.805
5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,4lXBBbiEgwTzcfAkqdXJV1,60,173548,2019,0.694
3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,19z3vpbBT09lZ54neDfuFL,65,189375,2018,0.678
0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,2LDzwN4iZ4qbSA32E9CG4Q,69,159404,2019,0.746
2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,097kyycr5ZuLS2cPwwUHwt,35,185366,2019,0.467
4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,37bCTD5iLWMpDcBanNkkXB,70,215238,2019,0.572
3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,5r998zJ0MNYb2TTxyQmjxT,64,170667,2019,0.708
1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,1WhPuMFm5VaTJqe9rl3C5Q,62,210968,2019,0.684
2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,6Ol6C42O7AWnTkj8pHMHWv,70,193548,2019,0.732
4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,5vf16sRhXB2f3sS5kteU2T,58,205093,2019,0.62
5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,1LTVUVJQ9wNArrbm02ZOVL,63,172800,2019,0.675
2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,13pvchQvJxxpvvtsasA4NG,66,192381,2019,0.682
1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,5bMicFMWsZlRZNTDq9h3oA,8,175000,2019,0.663
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,4pl2838fY2YPaqiT2yWuMo,62,166875,2019,0.625
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,6MhbDWEsAP9Xsgoj0TuEOc,30,155080,2019,0.679
1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,2Ryw2kkGP0VecGM9b4kjgo,56,178125,2019,0.641
4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,249wM0bMES3O4nFuwARq9i,56,172000,2018,0.702
0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,6rWRg6yLGcLdG0IRaCB9LN,58,177097,2018,0.723
7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,6gKLNSKPll9DAG5xiygMxD,60,169935,2019,0.742
7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,4H87kr1cjR2CSUkTFopYEK,60,220413,2019,0.716
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,3E3l9Ae226bVoSwoPNuwWv,55,185273,2019,0.748
508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,44iw4l4Syoi5HZgCQzNSKJ,59,170164,2018,0.816
7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,3Yb3f9PL7aBpjuJPyiV0ot,63,172360,2018,0.633
6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],1r4KIEhxQJ7o3b5Fbv2sRe,67,247385,2019,0.563
5Vwgf4MVO0vLv8fbxaGGiW,Paradise - Bazzi vs. Black Caviar Remix,0TLVzJLOGaY5j7UdKskpMx,55,218015,2019,0.728
5scxjvcdozadBoRRN0UMaM,White Mercedes - EDX's Miami Sunset Remix,37vNU8L52IJZuO7e9hqBd9,56,200444,2019,0.846
6oJ6le65B3SEqPwMRNXWjY,Higher Love,4wquJImu8RtyEuDtIAsfcE,87,228267,2019,0.693
2tilX6FUl0IwFgiOYjuc6V,Unlove You,6k63cIUizpLu0h5hhIg8LG,62,150160,2019,0.678
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),6lMlX68jJrx67hiCqdiDvW,83,194840,2019,0.67
478QYNLw6dhTTx4oEkhBeq,Freaking Me Out - Keanu Silva Remix,6sOIjQyLBuivHFkEBttj5J,55,177466,2019,0.755
3C4fzUgIP3ahkhOBdP38GM,Heaven Can Wait - The Aston Shuffle Remix,6fUjIqkNJY56xS62ild7D1,61,218373,2019,0.622
2k4c9ZAlIYHyXiJ4i20FO7,When It Comes To You - Benny Benassi & BB Team Remix,13u5uffEUZZBoaI5kn5Zqd,56,144073,2019,0.789
79zGYOcAe2VmJsyQiJX31a,Gone - The Wild Remix,2QVWSdvejmRHBaK1mroxPL,57,193861,2019,0.64
6B2NRQjtSOtqi67d72r5cx,American Boy - Brooks Remix,2oUf4rrrptVC50h75WzjmI,56,200625,2019,0.609
08rBIlTMXlF5uEHobZglxv,Million Pieces - M-22 Remix,4lzn3ikjb2HPZM6U6Y1IRL,53,166237,2019,0.64
1BmdqDrBU5eohtRwHBls6C,joy. (R3HAB Remix),2gGMD56Y8DAvIzpoYfA014,56,171500,2019,0.75
5rxKInBVj0QE87KenyDiLf,Crash Into Me - Settle Down Steavis Aoki Remix,6GXIqRarFMaBWoF4N33foM,34,266719,2019,0.535
3kgKVcBpBGuSeaEC0AZGlb,Old Town Road - Diplo Remix,66FxETmTBazRMZNbvGtGQl,74,204027,2019,0.766
5qCrT9lVmIGxqB8i6bb83P,Lovers + Strangers - GATTÜSO Remix,3BnKoWIFRdfjSmxfQPOHuK,46,203968,2019,0.649
3Lv3frZVXU7Q0JEFvLIzWW,Promises (with Sam Smith) - David Guetta Remix,7g15PlMnaKmFMUsSpR8aZt,63,190417,2018,0.588
2bZYJvVRN5EqIvAUFhUNls,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,04MEXjH1XyMV7O0IWDXN5p,55,237686,2019,0.355
3utdq3dPLVD4r7Vv9BnCAI,What Am I - SONDR Remix,1UmAfO69MdjI20N6etueHb,52,180361,2019,0.542
1ppOGANOzMT01Cxh9jx4hN,Cool Kids,1ZmJJdNN2BAnVqoiU4xtZe,67,139048,2019,0.735
5Shjuje8PRcX7ueEVajrLH,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,4shNfMW19y4WnkuhCHum19,63,279800,2019,0.752
6wKJjrWWP4qpzYbE8oQkc4,All Star - Breathe Carolina Remix,5lsHOl5P5mWLHeslZCLSaQ,60,217043,2019,0.748
6EDH26ppl7R8oV4tGilCkS,Trampoline - Dave Audé Remix,2ms8D5cy72qBtVnxKlXtP3,45,230476,2019,0.607
4RaN7556EogBfF80klMEX2,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,5DInvPwtc0gzZuZjpu1BHc,58,188640,2019,0.607
1nwoWaqzB30bD4IPqRNuex,With You - Dexter Remix,5cHgBxHHpJLjMWGBBiJEVJ,51,196613,2019,0.679
4fDBElPGDqZQ3rJorZTm2w,Safety (feat. DJ Snake) - Dark Heart 2am Mix,393WHbcQ36YL7O87MqYZzJ,58,210000,2019,0.714
6AZ21kPj2a0INgf3uCviVu,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,6KGnQuHVrsfblNq0ekXp3y,56,187869,2018,0.69
3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,3zKB8eOzx6nPOnKUf0A4CS,60,273229,2019,0.775
4Q9iBGT9b9CVTtDwsgQWnl,Spicy - Majestic Remix,1PbOvsQE07RzhUzeaZTldw,48,255861,2019,0.814
6LCsZ8ARrIq0n9nr6gM2ru,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,7kDHIbujnNBfCxe0KhYkZ3,56,216714,2019,0.784
27F9FlipD657qYRQT3qxFm,Treehouse - R3HAB Remix,6T3Bfp49DNsclv7kq9eqP2,56,192653,2019,0.367
6B9cqNooxIyPfr3P5EB8LA,Hearts Ain't Gonna Lie - Eden Prince Remix,00wIfIEWOqJ2RFrRazVl0i,65,238451,2018,0.609
05CwHjIk71RXVU40boRMnR,Call You Mine,1ONuDpN0a3zhCUyKCgtuzK,39,217653,2019,0.591
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),41S9bfzXTSGK4HU2mp5qXH,83,174444,2019,0.59
5icOoE6VgqFKohjWWNp0Ac,Here With Me,6NHS3hV16MZyfcp0nSHdrd,83,156347,2019,0.791
6GIRtKNXokeu25nn7U6Hu8,Easier - Seeb Remix,1N3m1ZId0DMGaCN83haJLs,71,165767,2019,0.564
4PkIDTPGedm0enzdvilLNd,Sixteen,5AXNN75OmMjFrwst6ExNPx,81,201072,2019,0.669
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,3KjXg0MDej2pG9fv6I22lT,85,223523,2019,0.77
4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),0xLM3GiU0ZSstvhmeV0hmf,76,238459,2019,0.513
5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),0G0ho2sdOWIRRAh1PDTVFd,71,191612,2019,0.72
3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,05Bru0ZVTxp4orAyrZIA77,65,173455,2019,0.789
6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),1JawI0XkEwmQ5Bwef3RMbq,67,209893,2019,0.294
3OTSBoYKO7HzGVj8Bu2OH9,All the Time,4x79GTZCS7XsmxK9qxxMmV,74,228112,2019,0.665
4NSW0Km5ZG60L8FthUebPJ,What I Like About You (feat. Theresa Rex),6gPZmYBSipug1asf4zu9jh,81,220396,2019,0.46
1xK7enJZVdv37fnnxoZlPq,With You,03Rd91m56yw4XklwHF9FHq,71,180840,2019,0.362
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),3VCPQRcHVxiVaePlQ6TwoF,75,214634,2019,0.686
6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,3GTuto6NDtZegL6idSk183,73,210944,2019,0.618
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,2BM5FQCILC33Va2jOZ11Mu,79,190932,2018,0.665
18W92Zm1KjLCbUIszOhpkD,I Wanna Know (feat. Bea Miller),2xqSl9X8ulJayI0KxABaLV,74,197939,2018,0.661
3D37T7euWvVJ45evRmriIh,Better With You,4CoLHunP23dUcORSP1Nfzb,63,192941,2019,0.571
3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",1Z7WbPmn7QFoJ2DrNfEehz,79,215316,2019,0.591
6XqvFyJGdUD5IWee02ARKU,Polaroid,6x8gRx7RDvPckYBzPodW8w,16,193377,2018,0.652
575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,3ynoYncFXzo2OfPT8j93Pw,75,201253,2018,0.706
70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),60xcVwuQJAOyu11xf9mObS,75,220730,2019,0.404
7Ht0v0LWBCOEjmNQ0iMpNr,I'm Not Alright,3AaYBMcqoBYcZLfBsNDLri,55,185062,2019,0.876
6nDKrPlXdpomGBgAlO7UdP,SOS,7Jx7doYIXITyR2LQB0Hvbc,30,157202,2019,0.802
2b1BwUGGyKq0CoJd8G1B6M,Harder,1fYOToOfdZXY5hrOra8z2Z,62,159753,2019,0.906
09IStsImFySgyp0pIQdqAc,The Middle,7nEiwcUSwycvC77kZ9ub7c,84,184732,2018,0.753
1lGVyEkGHUz7Pg78QGaS4a,Wanted,5sPC6RYCERdNCzHLRf9zHb,70,160998,2019,0.693
6ksMjdec8b6C45TUawkAdu,Crash Into Me,2dRuXHSYXjRubjTkjMFZFD,37,226093,2019,0.672
1vsQb8n0icvMsFnL9663LM,Need Your Love (with Noah Kahan),5CaTHgZaRvb2vCK1mVbCR1,70,205787,2019,0.581
6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),4IYvXJnU8zPRzPPTu4dJUl,74,216668,2019,0.643
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,0syM7OUAhV7S6XmOa4nLUZ,85,178480,2019,0.674
1pBO9JDqh1y3TbCKEO1OvG,Nostalgic,1mfUDy3N3YIHDlJp42IKmY,36,182668,2019,0.691
1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,6nPJEALAjWKOE1jWPws7jj,52,224061,2019,0.661
7FCZhkhzEUVNUAlGauNKIe,Lovers + Strangers,25sQqb9Bw2zbBLXQGJwFRG,58,178501,2019,0.653
2JoIjuzRplpYGvvLpSW2on,Sad Song (feat. TINI),0D26ZmfHtg7309j2TEKxnR,72,154024,2019,0.734
4PUWpNtDejQwwa80LjvxXl,Sleepless Nights,7arFGGWl2p1FTC3LPTw7Dz,64,197880,2018,0.663
1nufXiTCTTAeJfO9hLHvO8,Save Me Tonight,0wQCkA93jbaOowF6bHsDfz,63,170079,2019,0.55
1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,1XYA8eDvomdYTbQBzk0jT1,77,193613,2017,0.703
1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),7KJTuTXYSnBGNgAxte3CSg,76,207095,2019,0.44
0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),1fP5UnRB0WNWNHSZRHsRCR,74,248156,2017,0.625
5l8AUgBTWuOECwVgYtaUyE,Endless Summer,7zygyMUltFYOvHoT3NOTsj,56,202072,2019,0.625
35MKhw2YBKApmD7fAnPERC,Faith (with Dolly Parton) [feat. Mr. Probz],1QrYKuMTMLwpTwzOFhfnOk,77,186805,2019,0.547
3Kuu5vASpXK8oRsxOvau6P,Think About You,5vZy4cohzmdhOUGCdsUNpt,71,208567,2019,0.673
7KW3XQV5Or5CF57MYVj5h4,Party For One,25it7uSpNFuRoD6uNc0Tfu,64,184533,2019,0.699
3M9Apu4OZfylLTFKvgEtKa,Ritual,0efvl0HsK2xxttk4IVOJry,82,198996,2019,0.647
5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),429B3se6xtZuvblNnS2iy7,81,238173,2018,0.588
6QcrReLyoun4xrPVsZ5OJE,Lie,4v1f4kZMvCpwCSwkxC82ia,41,215446,2018,0.655
1kQhi22kyluRCnIPAXtxEZ,I Found You (with Calvin Harris),7dQ734EW0iLvQfF6vBFNiZ,62,189165,2018,0.79
5cE201rNvIkryS8N1dJ5nR,Now That I Found You,1xqz6l2gObcbw25EqODDCt,5,200318,2019,0.611
4AkCyd9Nlbt8JprQq9V6o2,All Comes Back To You,5sF8cTLQirqDYQWJwzxq87,72,160312,2019,0.726
48GmVZwvkoVC5StfMLfNJE,Need U,2yBTjWwQLEr2i0LTIcUmwT,24,219521,2019,0.714
01iyINEYgPQ7ThMZuHUsqS,First Love,7syMmofF2t1xI0RFCtrSG9,58,207428,2017,0.619
6BwClo5W3VvTzJv8bvZXDD,Something Real,42Q6dojwO2PInszaHUFjly,65,179531,2019,0.575
108r6pnZHStBIktpyyps9w,TIME,3d0kltye1eEt6vbHZJSJVE,64,166000,2019,0.768
24Hzd4FPhz0HPx9jhM9cap,Something About You (with Rudimental),0xiqgV5gVnjsKVWpBqXyaO,53,203200,2019,0.767
4aTtHoSBB0CuQGA6vXBNyp,Home (feat. Bonn),1cL51Zp86zgzMDTXRiq8w9,72,239067,2019,0.466
0gIZLyF3MWQVcspzrLWYod,Simple (STVW Remix),3FGJOM0PZMpQUZ3CkUSDld,39,147554,2019,0.434
6y1UtRcHQU07aUs3oxZ8Yn,Sorry,1PvEp0qeU6o2rm0i2qUC2N,75,188640,2019,0.744
54z0kLF0skj0Hdb9wCqPJt,Spicy (with Diplo & Charli XCX),7J5VpxOH7WctwtGuFYydUz,60,157159,2019,0.837
6mPstbtzhyqKmwefY4eVWD,The Upside (feat. Elle King),1B9rsSz0Prc3R2NtDrs5nN,18,228502,2019,0.514
6uBhi9gBXWjanegOb2Phh0,Stay,1I4W7JKzYbl8VKRfD61DIS,79,210091,2017,0.69
1Pe3Tnahd3nNcKrTvNvNvW,Million Voices,5cqwXF2j9LkvFInBFlnQd3,60,187150,2019,0.466
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0ZHyvPke0EcVt6rYA8Ins3,83,212500,2018,0.842
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),0rSLgV8p5FzfnqlEk4GzxE,85,244960,2016,0.748
2IDHoSlbG0CKH9rhq68wTb,Say My Name (feat. Zyra) - RAC Mix,7Eg6srmG6BVIEiUmiRjzI4,47,243091,2014,0.647
60wwxj6Dd9NJlirf84wr2c,Clarity,7juWTdmjo0vYywWu8HiQxs,74,271427,2012,0.509
6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),1q7a5wZeti0neU2jDn8Dz3,80,222653,2018,0.737
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,2v9rQe4F8fVSh5v8bAq0jF,81,220883,2017,0.584
7iNIg7XDEaYECfWD5dJ9Va,Friends (with BloodPop®),7huML9zDbY4thKH0xSuZTP,76,189467,2017,0.743
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),6EobpC5SDFy5DF50dWNVGF,96,221714,2019,0.721
5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),2tpWgbBdzjkaJVJzR4T8y1,84,213309,2018,0.781
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),7mtnp7B5yFt3D3PAznGzc8,86,208474,2019,0.737
6jq6rcOikCZAmjliAgAmfT,Light,4k2ygY7kW4n1eVtR2i0F0H,68,239853,2017,0.57
762UXiwEHYY97VL45sAUPR,2U,0EYVu7ginQ5nPsQj3woBAQ,66,194907,2017,0.551
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,4JPguzRps3kuWDD5GS6oXr,83,247160,2017,0.617
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,85,214847,2018,0.791
3zU9rdflI65tK4dkkNSp77,Heroes (we could be),0tRVSbmOwilUucqjzU0fQw,73,210013,2015,0.503
12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),4VNy5ifZtW3E9SgffbGEti,69,220781,2017,0.64
4kte3OcW800TPvOVgrLLj8,Let Me Love You (Until You Learn To Love Yourself),4HPdvrPf9RGfJ2hNYrODpC,69,251627,2012,0.658
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,02sEJTj1sye1JaqxqpcSCp,81,205947,2016,0.649
3vv9phIu6Y1vX3jcqaGz5Z,Roses,2GFflENKz28RcMoSuulPZC,73,226739,2015,0.713
1BltsyC5W3SAABdxyrDXwi,Latch,1ZFGRj11NnZHos8DUbbpF1,19,255632,2013,0.503
3tTYxjYYcXFqFXA0AZ1Fav,Flames,2Sq9AIsIrad2GygwB6QLPt,57,195000,2018,0.609
09CtPGIpYB4BrO8qb1RGsF,Sorry,6Fr2rQkZ383FcMqFyT7yPr,81,200787,2015,0.654
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,3pEgGUv379EDinvg1TN7Kt,79,222160,2016,0.63
4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,1s9tU91VJt4sU5owi29GD3,84,247427,2013,0.532
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,1c79SozES9Eb3Lzf9KVaIa,84,184560,2018,0.694
0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),5aprcHwM1KJhaY9Kbxkfkn,66,245040,2011,0.604
0n8ob8S72lvznoVfiwz4qL,Where Are Ü Now,6Fr2rQkZ383FcMqFyT7yPr,8,242520,2015,0.432
4r6eNCsrZnQWJzzvFh4nlg,Firework,2eQMC9nJE3f3hCNKlYYHL1,64,227893,2010,0.638
0GzmMQizDeA2NVMUaZksv0,Mi Gente (feat. Beyoncé),55228F4QRlYDzJ4H02tDHA,61,209733,2017,0.759
1MlAkYV0nbRKWhhfvTt3zc,Don't You Worry Child - Radio Edit,2OW1FFaG8vgbRl0WilKz1B,27,213169,2012,0.614
1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",65ayND23IInUPHJKsaAqe7,74,237547,2016,0.669
7C7yqFTM0ncyJ04GIKrxdV,Anything Could Happen,4754Cgv1sdfwTpdVX83xAC,57,286322,2012,0.702
0WfKDYeUAoLA3vdvLKKWMW,Poker Face,2FBA8NCSuQNi8jaR2Xjbal,69,237200,2008,0.851
22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,3cG32DOXJoYlOHMmJIaQsm,77,212640,2015,0.738
61ZM92T2zaXIVsqncThQzC,In Your Eyes (feat. Alida),7Aq8cN8Br8AHcDqC327dlV,74,208222,2020,0.57
6TnxdnJcZIwCWiCHq5Qds0,Wish You Well (with Sigala),1vlHG5JJCSsWBuA5vPTY7Q,5,206440,2019,0.67
2aFAmDBycyEnj3lcS95JMe,With You - LöKii Remix,5cHgBxHHpJLjMWGBBiJEVJ,57,231480,2019,0.708
0Npijoc6ZcUe1devUugKvI,Dive,2DUrw9sLe99AbZ8cRbsXk8,68,164490,2019,0.654
5gwLIRjGFf3hXuHoKEsWLg,No Goodbye,1ix4O6SU7i8W2H6RYb3O8R,65,168547,2019,0.945
3d4lc8esnUl7Bx9J9d9oty,Work,7G0zAdOGlZALLj0yIu1b7j,58,155238,2019,0.704
0U6bQIAh6MCGo1xjbIIx2S,Instagram,7FTzcNdsKhMe53orWXsai8,81,184558,2019,0.765
3oIVK7arAFuUOCGafPLxSC,Better Off Without You (feat. Shift K3Y),6ItQBh0GYXQc3jYGP79Ww9,68,198743,2020,0.682
2I4jAMEOEUQD5V1byYCqNS,Butterfly,34WpdPTXdf5kPoDShF9Nsv,43,159194,2019,0.627
59QmL8ygKtVfMHmPx3GaBX,All The Love You Got,7iCEc635CaDogFMA6NPmUc,57,165714,2019,0.762
5EdYlCWou17k0N1PADLKfO,Call You Mine - Asketa & Natan Chaim Remix,1nqYsOef1yKKuGOVchbsk6,58,183653,2019,0.577
5MvsfUN0H79C24t3fPepeL,Love Is Not Enough,4pMsuhPZP44rMBrgDQKGFL,58,202500,2019,0.632
7CHi4DtfK4heMlQaudCuHK,Lose Control,1qSOaTvsCOyFJya3v1UzkP,91,168387,2019,0.598
1CW7tYkpJ95c7bQkRf6CcK,I Wanna Dance,3niF8tyjfJw8pmfc6VYKGa,67,184582,2019,0.825
4bSFPMXKYaCoBhzJv276zl,After The Landslide - Club Remix,5dUclWPRHUknlqyiffoqfE,42,240000,2019,0.63
5AFrctm65wWIqJsjHPPx85,Midnight Hour with Boys Noize & Ty Dolla $ign,65Xj1lewlRP7RB5LiCeNBV,70,198839,2019,0.795
3DsjHcLYMExprXJECT4QQP,Pon de Replay,3D74WUurXHavsASBjlxONT,64,257943,2017,0.529
7FjZU7XFs7P9jHI9Z0yRhK,So Close,4ZIaWbFnkMozASM1CA59K6,79,190302,2018,0.7
5ijpy4l0nKZPIKHui6SQfE,Look Into My Eyes,7DnfkpW8qZvwrd5juFewce,48,154654,2020,0.791
6j8eH9frh703HaGBaSRS6u,Not in Control,5oePvMoJsFArZDomjsTzlk,53,179016,2019,0.904
79Vz5MNH7Qe4F7hPKT8tPz,BLUE,1WjspDqwIlXKkI7QWGifZ2,75,167859,2019,0.744
65mOk4n0tfrMysFXu12ufx,Don't Waste My Time,4n7kOauHRMuQ97McSDr0zm,46,154286,2019,0.772
4w5Grfxx5Rpup6mo5v6bW0,Beat Of My Heart,6NQRmMazNOKi0IiIXlNzGh,67,183183,2019,0.706
3uiQZlSlSDRduWLFBTSEot,Don't Start Now - Kungs Remix,4mzsZJ8apTlyqRRJgJcFY9,65,216256,2019,0.664
29ikXeGM6kScvhvqfvgiwO,Drunken Truth,2BWk9BoPaXaMi93wZsSoXk,56,158091,2019,0.781
2Eld7kejX6FH9OptVyKQak,Jacques,4ka7Gqb1T5lWqbtPUxiLsC,42,203227,2019,0.789
3BOcWxFUURAomDXRSDFve4,Something Real,5cqwXF2j9LkvFInBFlnQd3,58,179531,2019,0.575
4YhN72dRYL2Z3MsaKyT7rS,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,74,185943,2019,0.669
